week,S,I,P,R_t
0.0,2955.8604,0.0,0.0,15.2393797485353
1.0,3110.7627,108.015976,0.0,16.03800160649503
2.0,2165.9058,1111.1418,0.0,11.166650935234168
3.0,2127.1616,1655.1985,0.0,10.966899415935737
4.0,1890.3289,3371.2625,0.0,9.745873117907655
5.0,915.02747,4218.447,0.0,4.717560649879728
6.0,5111.316,3755.8398,0.0,26.352151921406758
7.0,4454.907,6303.349,0.0,22.9679409427488
8.0,4386.0537,6164.984,0.0,22.612953471385204
9.0,2169.2993,8741.101,0.0,11.184146586389158
10.0,6220.214,4750.135,0.0,32.06924030745651
11.0,1713.1487,9151.602,0.0,8.832394411693686
12.0,8467.106,4349.034,0.0,43.65343189401475
13.0,1537.3976,11108.82,0.0,7.926282922655947
14.0,6673.9614,6587.052,0.0,34.408606036186725
15.0,681.49005,11989.35,0.0,3.5135236428301306
16.0,5161.437,7647.812,0.0,26.610560379078663
17.0,1744.3666,10975.33,0.0,8.993342908294956
18.0,8919.738,6995.0234,0.0,45.98704416112618
19.0,1856.0531,13946.097,0.0,9.569158979390659
20.0,10620.336,6590.4893,0.0,54.75473142857117
21.0,2476.761,14727.488,0.0,12.769311422500554
22.0,10385.891,8401.821,0.0,53.54601078593834
23.0,1928.1069,16761.787,0.0,9.940643589908296
24.0,10111.315,8642.825,0.0,52.13039917930234
25.0,1606.8839,17436.217,0.0,8.284529533982335
26.0,7496.105,11310.777,0.0,38.64728789942774
27.0,5308.0435,13451.527,0.0,27.366409231663415
28.0,8506.276,10413.091,0.0,43.855376321811754
29.0,3545.0254,15216.543,0.0,18.2769081173527
30.0,11294.754,7341.0234,0.0,58.23179129746252
31.0,2464.4387,16347.719,0.0,12.705782689585739
32.0,10510.709,7769.8203,0.0,54.18952936704426
33.0,1308.2856,17103.293,0.0,6.745062240278922
34.0,7514.6313,11269.799,0.0,38.7428062292807
35.0,7527.158,11504.546,0.0,38.80739010233167
36.0,6470.067,12450.709,0.0,33.35739758791154
37.0,7944.6816,10859.246,0.0,40.95999463546571
38.0,5045.9473,13339.892,0.0,26.015135175711514
39.0,9554.197,9272.725,0.0,49.25809340831673
40.0,2525.9297,16303.166,0.0,13.022808202923633
41.0,9984.457,8745.477,0.0,51.476357193152445
42.0,2380.9253,16417.928,0.0,12.2752163270469
43.0,9782.887,8835.55,0.0,50.437131965680486
44.0,2376.0742,16094.459,0.0,12.250204787889407
45.0,10660.659,8223.796,0.0,54.96262178345706
46.0,1935.45,16930.607,0.0,9.978501656960438
47.0,7444.324,11285.234,0.0,38.38032901013703
48.0,7652.294,11364.828,0.0,39.45254391132265
49.0,6315.676,12578.7,0.0,32.56141073714715
50.0,8160.7695,10868.932,0.0,42.07406760719742
51.0,5088.5557,13673.286,0.0,26.234807599770058
52.0,9771.343,9147.529,0.0,50.377620318487565
53.0,2320.8398,16722.158,0.0,11.965436817988572
54.0,8855.911,9693.555,0.0,45.65797148939828
55.0,4536.767,14045.691,0.0,23.38997949345522
56.0,10291.183,8590.713,0.0,53.05773024162736
57.0,1756.0148,17061.633,0.0,9.053396705128
58.0,7507.8545,11243.2705,0.0,38.707865992962894
59.0,7494.5522,10889.019,0.0,38.639283587772795
60.0,5821.0312,12880.51,0.0,30.01119490084302
61.0,8719.796,10071.563,0.0,44.95621076909917
62.0,3662.1094,15010.667,0.0,18.880551931556827
63.0,11525.442,7188.3296,0.0,59.42114303088736
64.0,2117.746,16623.773,0.0,10.918355864871632
65.0,10206.805,8566.918,0.0,52.6227050081182
66.0,2110.7974,16698.531,0.0,10.882530489595418
67.0,8381.506,10385.171,0.0,43.212108640625026
68.0,5888.737,12901.866,0.0,30.360262006388112
69.0,8631.827,10226.848,0.0,44.502675866195574
70.0,3950.068,14759.704,0.0,20.365165917659628
71.0,11332.684,7511.4023,0.0,58.42734689004981
72.0,2113.0813,16614.645,0.0,10.894306447172957
73.0,9284.139,9465.92,0.0,47.86576537791369
74.0,3436.1555,15491.482,0.0,17.715614642293318
75.0,11795.4,7247.036,0.0,60.81294997864655
76.0,2256.3362,16516.156,0.0,11.63287778535399
77.0,9788.118,9108.378,0.0,50.464104879507666
78.0,2521.6296,16279.412,0.0,13.000639027606404
79.0,10134.988,8929.053,0.0,52.25244731511294
80.0,2526.4565,16219.61,0.0,13.025524091035411
81.0,10946.783,7702.165,0.0,56.43777485528239
82.0,1815.8145,17044.225,0.0,9.361702503522306
83.0,6656.2446,11898.919,0.0,34.317264061681804
84.0,8225.897,10397.655,0.0,42.40983970413384
85.0,4879.5166,13653.116,0.0,25.15707750252603
86.0,9799.488,8842.869,0.0,50.522727891889495
87.0,2078.6724,16754.342,0.0,10.71690572525173
88.0,8203.893,10251.285,0.0,42.29639257917287
89.0,6119.8506,12532.594,0.0,31.551803254485097
90.0,8488.095,10444.757,0.0,43.761639903664516
91.0,4314.8594,14265.323,0.0,22.245902767962875
92.0,10806.048,8210.78,0.0,55.71219226250693
93.0,1793.1487,17258.941,0.0,9.244845732804055
94.0,7231.122,11468.509,0.0,37.28113002413036
95.0,7377.917,10870.693,0.0,38.0379550602512
96.0,5927.6187,13068.315,0.0,30.56072198397957
97.0,8828.515,9997.834,0.0,45.51672930582548
98.0,3767.1655,15012.391,0.0,19.422185110015736
99.0,11453.177,6980.756,0.0,59.048564288697754
100.0,2124.098,16582.787,0.0,10.951104605042605
101.0,9823.748,8873.217,0.0,50.64779856805672
102.0,2076.7495,16543.145,0.0,10.706992004695858
103.0,8405.45,10039.859,0.0,43.335552835912196
104.0,5319.405,13480.697,0.0,27.424985701518395
105.0,9602.288,9029.8955,0.0,49.506031135654695
106.0,2278.6235,16334.889,0.0,11.747783703376806
107.0,10102.722,8711.024,0.0,52.086089513340504
108.0,2251.854,16632.547,0.0,11.609770576032133
109.0,9635.824,8931.083,0.0,49.678931166675184
110.0,2830.7007,15883.162,0.0,14.594100541211446
111.0,11285.441,7718.748,0.0,58.183782874833504
112.0,2049.1965,16980.58,0.0,10.564938680161486
113.0,8254.225,10411.696,0.0,42.55588726843125
114.0,5863.09,13425.792,0.0,30.228033634314833
115.0,9015.847,9618.934,0.0,46.48254544776031
116.0,3119.3572,15481.857,0.0,16.082312216484844
117.0,11570.301,7201.586,0.0,59.652418156417205
118.0,2211.8755,16746.002,0.0,11.40365386216166
119.0,9127.25,9522.852,0.0,47.0569014400492
120.0,3432.1377,15228.32,0.0,17.694899507940075
121.0,11818.223,7222.954,0.0,60.9306154663392
122.0,2317.2712,16673.121,0.0,11.947037405455298
123.0,9862.473,8675.62,0.0,50.84745418988457
124.0,2000.5033,16676.678,0.0,10.31389439892701
125.0,8645.641,10124.656,0.0,44.57389404560344
126.0,5714.0,13299.695,0.0,29.459380247084283
127.0,9410.11,9456.797,0.0,48.51522761576856
128.0,2766.5017,16186.533,0.0,14.263113668535627
129.0,10922.564,7823.9937,0.0,56.31291015167814
130.0,1826.4862,17204.23,0.0,9.416722182235363
131.0,6885.707,11931.043,0.0,35.500291425425246
132.0,8341.749,10612.71,0.0,43.007132203921
133.0,5023.543,13675.118,0.0,25.899626196143007
134.0,9771.758,9079.534,0.0,50.379758373822256
135.0,1904.5867,16625.025,0.0,9.81938140009515
136.0,8069.322,10558.894,0.0,41.6025931953018
137.0,6297.371,12349.564,0.0,32.467037694691406
138.0,7984.875,10934.431,0.0,41.167214310370454
139.0,5299.2065,13579.031,0.0,27.320850725360625
140.0,9648.486,8964.748,0.0,49.74421385046943
141.0,2342.7688,16217.842,0.0,12.078493946465956
142.0,9323.424,9438.705,0.0,48.068305544898436
143.0,3967.0676,14904.989,0.0,20.452809754401763
144.0,11356.979,7587.461,0.0,58.55260472890691
145.0,2157.049,16500.354,0.0,11.120987779538249
146.0,9081.025,9329.869,0.0,46.818580514155116
147.0,3347.7183,15359.507,0.0,17.259662527074152
148.0,11735.8125,7160.044,0.0,60.505739930784095
149.0,2328.671,16661.178,0.0,12.005810090462608
150.0,9740.232,8788.628,0.0,50.21722293978858
151.0,2456.3125,16252.365,0.0,12.663886019620268
152.0,10370.527,8480.312,0.0,53.46680161943289
153.0,2025.9825,16569.396,0.0,10.44525580549502
154.0,8660.116,9825.101,0.0,44.64852026297066
155.0,4706.14,14291.707,0.0,24.263209588006564
156.0,10657.61,7981.502,0.0,54.94690032154094
157.0,2010.8118,17203.146,0.0,10.36704028703573
158.0,7040.9644,11611.633,0.0,36.30074531889883
159.0,8118.1865,11073.553,0.0,41.85452269324137
160.0,5389.0913,13293.112,0.0,27.78426715615768
161.0,8998.57,9409.034,0.0,46.39347212952209
162.0,2715.9443,15553.385,0.0,14.002457363153162
163.0,10928.265,7653.438,0.0,56.342296555641916
164.0,1701.8076,17214.938,0.0,8.773923073078834
165.0,7097.64,11556.541,0.0,36.59294649817653
166.0,7896.14,11153.386,0.0,40.70973000640285
167.0,5669.7656,13152.963,0.0,29.231324612127647
168.0,8932.957,9909.658,0.0,46.05519543886941
169.0,3018.266,15787.531,0.0,15.561122418424583
170.0,11315.125,7139.6084,0.0,58.336816570313154
171.0,2279.8518,16683.443,0.0,11.75411700382934
172.0,9220.4,9458.554,0.0,47.53715158410965
173.0,3490.5059,15337.3545,0.0,17.9958240578098
174.0,11628.98,7050.589,0.0,59.9549515431927
175.0,2097.7646,16714.18,0.0,10.815339000899373
176.0,10127.599,8570.817,0.0,52.21434505897464
177.0,2191.7268,16654.371,0.0,11.299774727316247
178.0,8191.419,10267.266,0.0,42.23208152518016
179.0,5858.233,12653.446,0.0,30.202995190370768
180.0,8372.6875,10149.511,0.0,43.16663923675948
181.0,4214.3516,14956.284,0.0,21.727719254670212
182.0,10916.838,7689.212,0.0,56.283388510844105
183.0,1703.3578,17236.83,0.0,8.781915682725236
184.0,8315.285,10145.9795,0.0,42.87069287874999
185.0,5591.048,13229.873,0.0,28.82548333783082
186.0,9110.049,9801.996,0.0,46.96821984901202
187.0,2991.4521,15649.568,0.0,15.42287860847186
188.0,11400.918,7417.9814,0.0,58.77913609240921
189.0,1757.8511,16993.05,0.0,9.062863866212991
190.0,8002.795,10559.21,0.0,41.25960776475452
191.0,6688.9434,12517.463,0.0,34.48584574478697
192.0,8215.961,10254.879,0.0,42.35861140250335
193.0,4776.648,13949.303,0.0,24.62672204157979
194.0,10312.972,8314.787,0.0,53.17006448097264
195.0,1905.6416,17009.857,0.0,9.824819943079005
196.0,6997.4487,11665.613,0.0,36.0763903262057
197.0,8021.714,10570.716,0.0,41.357142499754865
198.0,5281.552,13707.417,0.0,27.229830308411575
199.0,9490.742,9310.222,0.0,48.93094024246616
200.0,2366.8098,16351.01,0.0,12.20244123962678
201.0,10309.581,8231.75,0.0,53.15258544003236
202.0,2163.7185,16610.893,0.0,11.155373797904865
203.0,9043.387,9484.133,0.0,46.62453106904502
204.0,3826.549,14564.981,0.0,19.728344890300935
205.0,11350.143,7471.9395,0.0,58.51735499412489
206.0,2019.1654,16709.438,0.0,10.41010887138469
207.0,8962.01,9513.463,0.0,46.20498171998081
208.0,3914.7942,15048.656,0.0,20.18330739417428
209.0,11077.549,7370.8887,0.0,57.11195815451175
210.0,2194.8772,16391.105,0.0,11.316017420302334
211.0,9954.604,9012.934,0.0,51.32244432526352
212.0,2313.3303,16491.621,0.0,11.926719927976835
213.0,9680.015,8668.623,0.0,49.90676341618505
214.0,3092.1895,15878.118,0.0,15.942244324573608
215.0,11241.622,7332.1206,0.0,57.95786123638456
216.0,1932.2523,17095.309,0.0,9.962015353227775
217.0,7942.659,10816.457,0.0,40.94956708609788
218.0,6238.4277,12603.434,0.0,32.163146085752935
219.0,8196.888,10749.643,0.0,42.26028180271967
220.0,4411.3047,14047.035,0.0,22.743142030912974
221.0,10219.477,8305.093,0.0,52.688038011318575
222.0,1544.2303,16891.773,0.0,7.961510073298694
223.0,7002.2515,11623.339,0.0,36.101154058119135
224.0,8290.632,11058.092,0.0,42.74359351677838
225.0,5385.9326,13552.903,0.0,27.767977542049863
226.0,9176.0205,9655.472,0.0,47.30834413442505
227.0,2852.8562,15856.722,0.0,14.708326570067399
228.0,11364.498,7599.732,0.0,58.591371054989054
229.0,1873.9716,16875.936,0.0,9.661540143285198
230.0,7217.831,11368.234,0.0,37.21260547504863
231.0,7560.764,11028.896,0.0,38.98064937518676
232.0,6116.8594,12544.186,0.0,31.536383247131642
233.0,8362.635,10303.558,0.0,43.1148104893263
234.0,4421.19,14301.898,0.0,22.79410483092791
235.0,10730.73,8291.969,0.0,55.323884314425094
236.0,1873.5468,17127.104,0.0,9.659350471274973
237.0,7088.9487,11606.092,0.0,36.5481347619537
238.0,8033.8345,10858.471,0.0,41.41963334070431
239.0,5681.8286,13053.182,0.0,29.293516270081142
240.0,9165.687,9730.637,0.0,47.25506636363286
241.0,3166.415,15689.279,0.0,16.324925554118607
242.0,11274.8545,7348.293,0.0,58.12919721034959
243.0,2033.0297,16901.488,0.0,10.481588241594071
244.0,8697.581,10188.606,0.0,44.84167900820977
245.0,4891.883,13584.505,0.0,25.220833785426226
246.0,9828.614,8819.73,0.0,50.67289355347638
247.0,2169.257,16478.338,0.0,11.183928887233664
248.0,8814.951,9778.389,0.0,45.44680006826458
249.0,4630.5625,13792.193,0.0,23.873556715275452
250.0,10117.254,8545.986,0.0,52.161010375487336
